Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
slr1634	slr1634	2046961	2047335	hypothetical protein	slr1634	slr1634
ssl1046	ssl1046	2816066	2816320	CD225/dispanin family protein	ssl1046	ssl1046
slr0476	slr0476	2612907	2613317	hypothetical protein	slr0476	slr0476
slr1300	slr1300	301110	302354	FAD-dependent hydroxylase	slr1300	slr1300
slr0105	slr0105	2978508	2979896	AAA family ATPase	slr0106 // slr0105	slr0106 // slr0105
sll0222	sll0222	158757	159737	alkaline phosphatase	sll0222	sll0222
sll1023	sll1023	391899	393104	succinate--CoA ligase subunit beta	sll1022 // sll1023	sll1022 // sll1023
SGL_RS18620	SGL_RS18620	88094	88417	HNH endonuclease	slr6097 // SGL_RS19160 // SGL_RS18620	slr6097 // SGL_RS19160 // SGL_RS18620
slr1110	slr1110	223018	223596	DUF1092 family protein	slr1110 // slr1109	slr1110 // slr1109
slr6084	slr6084	79356	79865	antirestriction protein ArdA	slr6084	slr6084
slr6103	slr6103	97886	98596	M48 family metallopeptidase	slr6103 // slr6102 // slr6101	slr6103 // slr6102 // slr6101
slr0635	slr0635	2656139	2657077	folate-binding protein YgfZ	slr0635	slr0635
sll1524	sll1524	2068855	2069694	Cof-type HAD-IIB family hydrolase	sll1524	sll1524
slr8021	slr8021	18529	19311	class I SAM-dependent methyltransferase	slr8021	slr8021
slr0818	slr0818	1705868	1707223	hypothetical protein	slr0818	slr0818
slr0559	slr0559	2799650	2801014	ABC transporter substrate-binding protein	slr0559	slr0559
slr0387	slr0387	2391547	2392707	cysteine desulfurase	slr0388 // slr0387	slr0388 // slr0387
slr1946	slr1946	2250711	2251496	matrixin family metalloprotease	slr1946	slr1946
glgX	slr0237	138295	140535	glycogen debranching protein GlgX	glgX	slr0237
ssl0511	ssl0511	3042487	3042684	hypothetical protein	ssl0511	ssl0511
ftrC	sll0554	2804228	2804584	ferredoxin:thioredoxin reductase	ftrC // map // ST6803t35	sll0554 // sll0555 // ST6803t35
slr0833	slr0833	2839957	2842575	replicative DNA helicase	slr0833	slr0833
ssr5011	ssr5011	17218	17439	DUF167 domain-containing protein	ssr5011	ssr5011
sll0588	sll0588	2957479	2957940	hypothetical protein	sll0588	sll0588
sll1999	sll1999	1623130	1623696	IS4-like element IS4Sa family transposase	SGL_RS18855 // sll1999	SGL_RS18855 // sll1999
sll0359	sll0359	2146000	2146467	AbrB family transcriptional regulator	sll0359	sll0359
SGL_RS15850	SGL_RS15850	3006809	3007003	hypothetical protein	SGL_RS15850	SGL_RS15850
slr1915	slr1915	619215	619529	DUF1825 family protein	slr1915	slr1915
slr1224	slr1224	1026511	1027737	ABC transporter ATP-binding protein	slr1224	slr1224
sll0524	sll0524	3262819	3264162	hypothetical protein	sll0524	sll0524
SGL_RS12075	SGL_RS12075	2157115	2157303	DUF2442 domain-containing protein	SGL_RS12075	SGL_RS12075
slr1819	slr1819	1300661	1301656	pentapeptide repeat-containing protein	slr1819	slr1819
slr7094	slr7094	93265	93654	hypothetical protein	slr7096 // slr7095 // slr7094	slr7096 // slr7095 // slr7094
lpxC	sll1508	467836	468666	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC	sll1508
slr0953	slr0953	2023278	2024012	sucrose-phosphate phosphatase	slr0953	slr0953
lpxB	slr0015	2483643	2484827	lipid-A-disaccharide synthase	lpxB	slr0015
sll0843	sll0843	1357740	1358837	hypothetical protein	sll0842 // sll0843	sll0842 // sll0843
slr0317	slr0317	3039858	3040721	SDR family oxidoreductase	slr0317	slr0317
sll0939	sll0939	327604	327981	DUF1622 domain-containing protein	sll0936 // ssl1792 // sll0938 // sll0939	sll0936 // ssl1792 // sll0938 // sll0939
sll0296	sll0296	2286186	2286746	Uma2 family endonuclease	sll0296	sll0296
sll0045	sll0045	3140713	3142875	HAD-IIB family hydrolase	sll0045	sll0045
slr0703	slr0703	3096388	3097173	IS5 family transposase	SGL_RS19280 // slr0703	SGL_RS19280 // slr0703
SGL_RS19135	SGL_RS19135	3417013	3417402	endonuclease domain-containing protein	bchN // SGL_RS19135	slr0750 // SGL_RS19135
lpdA	slr1096	192882	194306	dihydrolipoyl dehydrogenase	slr1097 // lpdA	slr1097 // slr1096
sll0192	sll0192	2535487	2536758	hypothetical protein	sll0192	sll0192
slr1492	slr1492	43571	44506	iron-siderophore ABC transporter substrate-binding protein	slr1493 // slr1492	slr1493 // slr1492
trmD	sll1198	292790	293485	tRNA (guanosine(37)-N1)-methyltransferase TrmD	trmD	sll1198
sll8034	sll8034	29006	30040	nitronate monooxygenase	sll8034	sll8034
apcD	sll0928	339140	339625	allophycocyanin subunit alpha-B	apcD	sll0928
murB	slr1424	3280979	3281932	UDP-N-acetylmuramate dehydrogenase	slr1425 // murB // murC	slr1425 // slr1424 // slr1423
sll5048	sll5048	45852	46940	glycosyltransferase family 4 protein	sll5050 // sll5049 // sll5048 // sll5047	sll5050 // sll5049 // sll5048 // sll5047
sll1272	sll1272	1111185	1111955	DUF4393 domain-containing protein	sll1272	sll1272
sll0069	sll0069	2568975	2569745	hypothetical protein	sll0068 // sll0069	sll0068 // sll0069
sll1862	sll1862	2225278	2225709	hypothetical protein	sll1862	sll1862
SGL_RS19230	SGL_RS19230	1972546	1973061	transposase	SGL_RS19230 // slr1683	SGL_RS19230 // slr1683
slr1853	slr1853	1191445	1191786	carboxymuconolactone decarboxylase family protein	slr1853 // slr1852	slr1853 // slr1852
SGL_RS19015	SGL_RS19015	2524573	2525420	IS630 family transposase	SGL_RS19015	SGL_RS19015
slr0529	slr0529	3188483	3189748	carbohydrate ABC transporter substrate-binding protein	slr0529	slr0529
sll1864	sll1864	2216476	2219175	CBS domain-containing protein	sll1864	sll1864
slr0196	slr0196	2726676	2727059	hypothetical protein	slr0197 // slr0196 // slr0195	slr0197 // slr0196 // slr0195
ST6803t20	ST6803t20	1832001	1832087	tRNA-Ser	ST6803t20	ST6803t20
sll1950	sll1950	1428196	1428930	FkbM family methyltransferase	sll1950	sll1950
sll1574	sll1574	731363	731674	protein kinase	sll1574 // sll1575	sll1574 // sll1575
slr0591	slr0591	3543176	3544210	ribonucleotide-diphosphate reductase subunit beta	slr0591	slr0591
slr0226	slr0226	2526633	2528081	hypothetical protein	slr0226	slr0226
sll5050	sll5050	48291	49505	glycosyltransferase	sll5050 // sll5049 // sll5048 // sll5047	sll5050 // sll5049 // sll5048 // sll5047
slr0271	slr0271	1524568	1525086	hypothetical protein	slr0271	slr0271
slr5111	slr5111	103631	104083	hypothetical protein	slr5111	slr5111
ndhJ	slr1281	1876302	1876841	NAD(P)H-quinone oxidoreductase subunit J	ndhJ // slr1280	slr1281 // slr1280
ssr6027	ssr6027	25538	25729	hypothetical protein	ssr6027	ssr6027
rsmI	sll0818	1691493	1692332	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	ssl1520 // rsmI	ssl1520 // sll0818
cobS	slr0636	2657850	2658632	adenosylcobinamide-GDP ribazoletransferase	cobS	slr0636
rpoC2	sll1789	853497	857450	DNA-directed RNA polymerase subunit beta''	rpoB // rpoC2	sll1787 // sll1789
slr0423	slr0423	2706733	2707698	septal ring lytic transglycosylase RlpA family protein	slr0423	slr0423
sll1039	sll1039	190815	191954	alpha-E domain-containing protein	sll1039	sll1039
nhaS4	slr1595	453214	454446	Na+/H+ antiporter NhaS4	nhaS4	slr1595
ndhM	slr1623	2035067	2035432	NAD(P)H-quinone oxidoreductase subunit M	ndhM	slr1623
slr0586	slr0586	3535165	3535938	HAD family hydrolase	slr0586	slr0586
slr1025	slr1025	643144	643482	hypothetical protein	slr1025 // slr1024 // slr1023	slr1025 // slr1024 // slr1023
sll0207	sll0207	2512467	2513564	glucose-1-phosphate thymidylyltransferase	sll0207	sll0207
murJ	slr0488	2620798	2622399	murein biosynthesis integral membrane protein MurJ	murJ	slr0488
slr1677	slr1677	1956260	1957486	hypothetical protein	slr1677	slr1677
slr0868	slr0868	1366464	1366769	protein kinase	slr0868	slr0868
sll0645	sll0645	427777	428544	DUF928 domain-containing protein	sll0645 // sll0646 // sll0647	sll0645 // sll0646 // sll0647
ndhB	sll0223	157050	158615	NAD(P)H-quinone oxidoreductase subunit N	ndhB // ssl0410	sll0223 // ssl0410
slr1400	slr1400	402290	403432	hybrid sensor histidine kinase/response regulator	slr1400	slr1400
sll0834	sll0834	2835816	2837510	SulP family inorganic anion transporter	sll0834	sll0834
cobB	sll1501	484799	486247	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)	sll1500 // cobB	sll1500 // sll1501
SGL_RS18535	SGL_RS18535	29928	30142	hypothetical protein	SGL_RS18535	SGL_RS18535
slr0487	slr0487	2620171	2620662	PAS domain-containing protein	slr0487	slr0487
slr6087	slr6087	80814	81371	siphovirus Gp157 family protein	slr6087	slr6087
slr0459	slr0459	3510156	3511580	S8 family serine peptidase	slr0459	slr0459
sufB	slr0074	2871674	2873116	Fe-S cluster assembly protein SufB	sufS // sufD // sufC // sufB	slr0077 // slr0076 // slr0075 // slr0074
speB	sll1077	800034	801206	agmatinase	speB	sll1077
ssr5009	ssr5009	15996	16235	hypothetical protein	ssr5009	ssr5009
slr0480	slr0480	2615100	2616599	AAA family ATPase	slr0482 // slr0480 // slr0479 // slr0477	slr0482 // slr0480 // slr0479 // slr0477
slr1648	slr1648	2073161	2074603	carotenoid oxygenase family protein	slr1648	slr1648
slr0238	slr0238	140585	141007	hypothetical protein	slr0238	slr0238
sll0547	sll0547	2811628	2812290	hypothetical protein	sll0547	sll0547
sll1158	sll1158	1383339	1383755	hypothetical protein	sll1158	sll1158
slr1600	slr1600	466588	467037	hypothetical protein	slr1600	slr1600
sll0262	sll0262	2120067	2121146	fatty acid desaturase	sll0262	sll0262
slr2047	slr2047	593257	594243	PhoH family protein	slr2047	slr2047
sll7031	sll7031	29337	29639	DUF1778 domain-containing protein	sll7031 // sll7030	sll7031 // sll7030
slr1397	slr1397	708189	708812	hypothetical protein	slr1397	slr1397
slr1571	slr1571	3380809	3381489	TIGR00266 family protein	slr1571 // slr1570	slr1571 // slr1570
sll1408	sll1408	27990	29030	helix-turn-helix transcriptional regulator	sll1408	sll1408
sll0586	sll0586	2959530	2960756	NAD(P)/FAD-dependent oxidoreductase	sll0586	sll0586
slr0063	slr0063	2589851	2591869	type II/IV secretion system protein	slr0063	slr0063
SGL_RS05145	SGL_RS05145	704870	705064	hypothetical protein	SGL_RS05145 // slr1394	SGL_RS05145 // slr1394
sll0553	sll0553	2804655	2805692	alpha/beta hydrolase	sll0553	sll0553
menB	sll1127	1052927	1053754	1,4-dihydroxy-2-naphthoyl-CoA synthase	menB	sll1127
sll0913	sll0913	2014182	2014787	Uma2 family endonuclease	sll0913	sll0913
rplD	sll1800	841300	841932	50S ribosomal protein L4	rplC // rplD // rplW	sll1799 // sll1800 // sll1801
SGL_RS11050	SGL_RS11050	1939518	1939781	DUF3493 domain-containing protein	SGL_RS11050 // slr1171	SGL_RS11050 // slr1171
purS	slr0519	2932238	2932513	phosphoribosylformylglycinamidine synthase subunit PurS	purQ // purS	slr0520 // slr0519
slr0022	slr0022	3140307	3140678	YkgJ family cysteine cluster protein	slr0022	slr0022
rnhA	slr0080	2884357	2884839	ribonuclease HI	rnhA	slr0080
SGL_RS09615	SGL_RS09615	1648379	1648663	type II toxin-antitoxin system VapC family toxin	SGL_RS09615 // SGL_RS09610	SGL_RS09615 // SGL_RS09610
slr1978	slr1978	1799608	1800483	hypothetical protein	slr1978	slr1978
hoxE	sll1220	1678044	1678565	NAD-reducing hydrogenase HoxS &epsilon; subunit	hoxE // hoxF // sll1222 // hoxU	sll1220 // sll1221 // sll1222 // sll1223
ssr2067	ssr2067	1056714	1056944	type II toxin-antitoxin system HicB family antitoxin	pntB // ssr2067 // SGL_RS06830 // slr1241 // slr1240 // pntA	slr1434 // ssr2067 // SGL_RS06830 // slr1241 // slr1240 // slr1239
SGL_RS18520	SGL_RS18520	100584	100811	DNA cytosine methyltransferase	sll5109 // SGL_RS18520 // SGL_RS19305	sll5109 // SGL_RS18520 // SGL_RS19305
SGL_RS18955	SGL_RS18955	2210334	2211162	IS5 family transposase	SGL_RS18955	SGL_RS18955
slr2043	slr2043	583680	584696	zinc ABC transporter solute-binding protein	slr2043	slr2043
slr1992	slr1992	1436699	1437163	glutathione peroxidase	slr1992 // slr1991 // slr1990	slr1992 // slr1991 // slr1990
slr1840	slr1840	956673	957788	glycerate kinase	slr1840	slr1840
sll1485	sll1485	3389395	3389883	DUF2231 domain-containing protein	sll1485	sll1485
sll0924	sll0924	344744	345298	metal-binding protein	sll0924	sll0924
sll0481	sll0481	2916997	2917464	hypothetical protein	sll0481 // sll0482	sll0481 // sll0482
sll1596	sll1596	1484212	1484538	KaiB-like protein 1	sll1595 // sll1596	sll1595 // sll1596
ssl3573	ssl3573	1763340	1763624	hypothetical protein	ssl3573	ssl3573
slr0303	slr0303	3017183	3018151	methyltransferase domain-containing protein	slr0303	slr0303
narB	sll1454	1002633	1004777	nitrate reductase	narB	sll1454
sll1323	sll1323	175708	176139	F0F1 ATP synthase subunit B'	sll1323 // atpF // atpH // atpA // atpG	sll1323 // sll1324 // sll1325 // sll1326 // sll1327
lepA	slr0604	3564838	3566649	elongation factor 4	lepA	slr0604
slr0813	slr0813	1698811	1699980	glycosyltransferase	slr0813	slr0813
dgkA	slr0054	2576889	2577416	diacylglycerol kinase	slr0055 // dgkA	slr0055 // slr0054
rplP	sll1805	838218	838637	50S ribosomal protein L16	rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	sll1802 // ssl3432 // sll1803 // sll1804 // sll1805 // ssl3436 // ssl3437 // sll1806 // sll1807
slr1917	slr1917	620560	621468	alpha/beta fold hydrolase	slr1917	slr1917
sll1584	sll1584	713774	714178	ferredoxin	sll1584	sll1584
sll1155	sll1155	1386578	1386919	DUF2973 domain-containing protein	sll1155	sll1155
SGL_RS14715	SGL_RS14715	2754641	2754850	type II toxin-antitoxin system HicA family toxin	ssr0336 // SGL_RS14715 // metH	ssr0336 // SGL_RS14715 // slr0212
ST6803t10	ST6803t10	986297	986377	tRNA-Leu	ST6803t10	ST6803t10
trpC	slr0546	3240181	3241068	indole-3-glycerol phosphate synthase TrpC	trpC	slr0546
slr1200	slr1200	882023	883189	branched-chain amino acid ABC transporter permease	slr1200	slr1200
slr6014	slr6014	15036	16439	hypothetical protein	slr6016 // slr6015 // slr6014 // slr6013	slr6016 // slr6015 // slr6014 // slr6013
slr2101	slr2101	1569588	1570019	cupin domain-containing protein	slr2101	slr2101
sll0163	sll0163	2319555	2324636	Uncharacterized WD repeat-containing protein sll0163	sll0163 // cobA // sll0167	sll0163 // sll0166 // sll0167
slr2135	slr2135	1261355	1261993	hydantoin utilization protein A	slr2135	slr2135
cysE	slr1348	1743443	1744192	serine O-acetyltransferase	cysE	slr1348
cysC	slr0676	414871	415404	adenylyl-sulfate kinase	cysC	slr0676
slr0337	slr0337	2295152	2297341	hypothetical protein	slr0337	slr0337
sll1103	sll1103	1912776	1914113	TRAP transporter large permease subunit	sll1102 // sll1103 // sll1104	sll1102 // sll1103 // sll1104
sll1333	sll1333	3292177	3292884	hypothetical protein	sll1333	sll1333
sll1022	sll1022	393121	393849	membrane protein	sll1022 // sll1023	sll1022 // sll1023
prmC	sll1237	1652397	1653296	peptide chain release factor N(5)-glutamine methyltransferase	prmC	sll1237
sll1942	sll1942	576139	576903	hypothetical protein	parC // sll1942	sll1941 // sll1942
cysH	slr1791	257426	258175	phosphoadenosine phosphosulfate reductase	cysH	slr1791
petC1	slr1185	3527045	3527581	cytochrome b6-f complex iron-sulfur subunit	petC1 // SGL_RS18150	slr1185 // SGL_RS18150
slr6110	slr6110	105009	255	EAL domain-containing response regulator	slr6110	slr6110
ST6803t36	ST6803t36	2984874	2984945	tRNA-Gly	slr0109 // slr0108 // ST6803t36	slr0109 // slr0108 // ST6803t36
slr0331	slr0331	2287948	2289525	NADH-quinone oxidoreductase subunit M	slr0331	slr0331
sll5094	sll5094	92805	93236	type II toxin-antitoxin system VapC family toxin	ssl5095 // sll5094	ssl5095 // sll5094
trpD	slr1867	1206947	1207993	anthranilate phosphoribosyltransferase	trpD	slr1867
slr1583	slr1583	3398899	3399261	DUF1815 family protein	slr1583	slr1583
slr6107	slr6107	102151	102672	CAP domain-containing protein	slr6107	slr6107
sll1392	sll1392	59039	59650	TetR/AcrR family transcriptional regulator	sll1392	sll1392
slr0989	slr0989	2257203	2257964	YebC/PmpR family DNA-binding transcriptional regulator	slr0989 // slr1951	slr0989 // slr1951
sll0361	sll0361	2144427	2144897	hypothetical protein	sll0361	sll0361
SGL_RS19310	SGL_RS19310	36679	36978	hypothetical protein	SGL_RS19310	SGL_RS19310
slr1838	slr1838	955805	956116	BMC domain-containing protein	slr1838	slr1838
SGL_RS07080	SGL_RS07080	1112230	1112475	hypothetical protein	SGL_RS07080	SGL_RS07080
sll0181	sll0181	2737929	2738552	hypothetical protein	sll0181	sll0181
slr1100	slr1100	196611	196991	hypothetical protein	slr1100	slr1100
slr6100	slr6100	93820	94140	type II toxin-antitoxin system HigB family toxin	slr6100	slr6100
SGL_RS18900	SGL_RS18900	1877208	1878055	IS630 family transposase	SGL_RS18900	SGL_RS18900
sll1308	sll1308	1179926	1180672	SDR family oxidoreductase	sll1308	sll1308
sll1457	sll1457	996850	997806	glycosyltransferase	sll1457	sll1457
slr0286	slr0286	2124966	2126246	hypothetical protein	slr0286 // slr0285	slr0286 // slr0285
slr7098	slr7098	95369	96241	hypothetical protein	slr7098 // slr7097	slr7098 // slr7097
slr1959	slr1959	1759941	1762424	hypothetical protein	slr1959	slr1959
sll8048	sll8048	42203	42913	M48 family metallopeptidase	SGL_RS01360 // sll8048	SGL_RS01360 // sll8048
ST6803t28	ST6803t28	2407058	2407130	tRNA-Ala	ST6803t28	ST6803t28
slr0977	slr0977	349468	350298	ABC transporter permease	slr0977 // slr0976	slr0977 // slr0976
slr0341	slr0341	2425387	2426343	amino acid ABC transporter substrate-binding protein	slr0341 // slr0784 // tpiA	slr0341 // slr0784 // slr0783
slr2009	slr2009	749550	751037	cation:proton antiporter	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009
dnaG	sll1868	1816855	1818762	DNA primase	dnaG	sll1868
slr0889	slr0889	1154857	1156083	AarF/ABC1/UbiB kinase family protein	slr0889 // slr0888	slr0889 // slr0888
slr0112	slr0112	2993505	2994062	hypothetical protein	slr0112	slr0112
cas2	ssr7093	89620	89898	CRISPR-associated endonuclease Cas2	cas2 // cas1 // slr7091	ssr7093 // slr7092 // slr7091
slr5040	slr5040	38856	39641	IS5 family transposase	slr5040	slr5040
sll0710	sll0710	103500	105110	hypothetical protein	sll0709 // sll0710	sll0709 // sll0710
rpiA	slr0194	2725326	2726033	ribose-5-phosphate isomerase RpiA	rpiA	slr0194
psbN	SGL_RS18770	1167333	1167464	photosystem II reaction center protein PsbN	psbN	SGL_RS18770
slr6051	slr6051	51133	51513	DUF2513 domain-containing protein	slr6051 // slr6050 // slr6049 // ssr6048 // slr6047 // ssr6046	slr6051 // slr6050 // slr6049 // ssr6048 // slr6047 // ssr6046
ssr0109	ssr0109	2576092	2576280	DUF3285 domain-containing protein	ybeY // ssr0109	slr0053 // ssr0109
slr5127	slr5127	114514	115284	hypothetical protein	slr5127	slr5127
sll1570	sll1570	738909	739640	hypothetical protein	sll1570	sll1570
yidC	slr1471	1827753	1828907	membrane protein insertase YidC	yidC	slr1471
sll0101	sll0101	2980659	2980967	hypothetical protein	sll0101	sll0101
slr1686	slr1686	1975056	1975481	FHA domain-containing protein	slr1686	slr1686
ST6803t39	ST6803t39	3292004	3292089	tRNA-Leu	ST6803t39	ST6803t39
slr6012	slr6012	11315	13507	AAA domain-containing protein	slr6012	slr6012
slr0392	slr0392	2137686	2138081	hypothetical protein	slr0393 // slr0392 // slr0294	slr0393 // slr0392 // slr0294
sll0550	sll0550	2807211	2808932	MBL fold metallo-hydrolase	sll0550	sll0550
sll0584	sll0584	2962706	2963227	CGLD27 family protein	sll0584	sll0584
slr2107	slr2107	1620973	1621881	ABC transporter permease	slr2107	slr2107
sll1296	sll1296	684560	687334	hybrid sensor histidine kinase/response regulator	sll1296	sll1296
slr0985	slr0985	355424	355993	dTDP-4-dehydrorhamnose 3,5-epimerase family protein	slr0985 // rfbG // rfbF // slr0982	slr0985 // slr0984 // slr0983 // slr0982
frmA	sll0990	644388	645497	S-(hydroxymethyl)glutathione dehydrogenase	ST6803t08 // frmA // fghA	ST6803t08 // sll0990 // sll0992
bcp	slr0242	144061	144543	thioredoxin-dependent thiol peroxidase	slr0243 // bcp	slr0243 // slr0242
apcE	slr0335	2292188	2294878	phycobiliprotein ApcE	apcE	slr0335
slr1409	slr1409	1182665	1183645	WD40 repeat domain-containing protein	slr1410 // slr1409	slr1410 // slr1409
sll1775	sll1775	1208749	1211202	hypothetical protein	sll1775	sll1775
sll1338	sll1338	3284283	3284846	hypothetical protein	sll1338	sll1338
slr6047	slr6047	43696	47151	NgoFVII family restriction endonuclease	slr6051 // slr6050 // slr6049 // ssr6048 // slr6047 // ssr6046	slr6051 // slr6050 // slr6049 // ssr6048 // slr6047 // ssr6046
rpsH	sll1809	835859	836260	30S ribosomal protein S8	rpsH	sll1809
pruA	sll1561	1966146	1969118	L-glutamate gamma-semialdehyde dehydrogenase	pruA	sll1561
slr1851	slr1851	562557	563045	pentapeptide repeat-containing protein	slr1851	slr1851
ST6803t35	ST6803t35	2803261	2803331	tRNA-Cys	ftrC // map // ST6803t35	sll0554 // sll0555 // ST6803t35
slr0039	slr0039	3166607	3167680	phosphotransacetylase family protein	slr0039	slr0039
sll0656	sll0656	404545	410184	ExeM/NucH family extracellular endonuclease	sll0656	sll0656
slr0244	slr0244	145761	146615	universal stress protein	slr0244	slr0244
slr1566	slr1566	3372502	3373689	glycosyltransferase	slr1566 // slr1565	slr1566 // slr1565
psbD	slr0927	3229780	3230838	photosystem II D2 protein (photosystem q(a) protein)	psbD	slr0927
sll1475	sll1475	3399457	3400350	PAS domain-containing protein	sll1475	sll1475
SGL_RS18655	SGL_RS18655	160004	160093	cytochrome b6-f complex subunit PetN	SGL_RS18655	SGL_RS18655
slr0854	slr0854	1339683	1341122	deoxyribodipyrimidine photo-lyase, 8-HDF type	slr0854	slr0854
sll1696	sll1696	1295568	1296380	hypothetical protein	sll1695 // sll1696	sll1695 // sll1696
sll1786	sll1786	860952	861737	TatD family hydrolase	sll1786	sll1786
ccsB	slr2087	1547182	1548558	cytochrome c biogenesis protein	ccsB	slr2087
sll1739	sll1739	928806	929885	late competence development ComFB family protein	sll1739	sll1739
sll0488	sll0488	2907447	2908058	Uma2 family endonuclease	sll0488	sll0488
sll1917	sll1917	769053	770291	coproporphyrinogen III oxidase	sll1915 // nadD // sll1917	sll1915 // sll1916 // sll1917
SGL_RS19240	SGL_RS19240	2227654	2227752	ABC transporter ATP-binding protein	SGL_RS19240	SGL_RS19240
sll0180	sll0180	2739149	2740654	efflux RND transporter periplasmic adaptor subunit	sll0180 // SGL_RS14650 // ssl0350	sll0180 // SGL_RS14650 // ssl0350
SGL_RS04135	SGL_RS04135	474511	474792	type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family	ssl2920 // SGL_RS04135	ssl2920 // SGL_RS04135
sll5043	sll5043	41411	42397	glycosyltransferase family 2 protein	sll5043	sll5043
sll1426	sll1426	1584613	1585083	hypothetical protein	sll1426	sll1426
slr5013	slr5013	18822	20513	hypothetical protein	slr5013 // slr5012	slr5013 // slr5012
slr0657	slr0657	3333244	3335046	aspartate kinase	slr0657	slr0657
slr1690	slr1690	1983204	1983932	NUDIX hydrolase	slr1690 // slr1689 // psaE	slr1690 // slr1689 // ssr2831
ssr2153	ssr2153	303424	303621	hypothetical protein	ssr2153	ssr2153
slr0686	slr0686	429810	430169	DUF4870 domain-containing protein	slr0686	slr0686
SGL_RS18800	SGL_RS18800	1419906	1420511	hypothetical protein	ssl3692 // SGL_RS18800	ssl3692 // SGL_RS18800
slr0217	slr0217	2509162	2509584	hypothetical protein	slr0217	slr0217
slr6106	slr6106	100603	101829	AIPR family protein	slr6106	slr6106
sll1968	sll1968	908968	909483	anti-sigma regulatory factor	sll1968 // sll1969	sll1968 // sll1969
ssl6018	ssl6018	21554	21769	hypothetical protein	ssl6018	ssl6018
slr0729	slr0729	114319	114624	DUF3181 family protein	slr0729	slr0729
SGL_RS00025	SGL_RS00025	14343	14558	ATP-binding protein	sll5006 // SGL_RS00025	sll5006 // SGL_RS00025
sll0103	sll0103	2975741	2977003	VWA domain-containing protein	sll0103	sll0103
slr1983	slr1983	1811746	1813557	SpoIIE family protein phosphatase	slr1983	slr1983
ureA	slr1256	1401059	1401361	urease subunit gamma	ureA	slr1256
slr0806	slr0806	1685899	1687218	FAD-binding oxidoreductase	slr0806 // dacB	slr0806 // slr0804
SGL_RS18650	SGL_RS18650	146724	146831	photosystem II reaction center protein M	SGL_RS18650	SGL_RS18650
SGL_RS00740	SGL_RS00740	25975	26195	hypothetical protein	SGL_RS00740	SGL_RS00740
slr0920	slr0920	2794431	2794880	NUDIX hydrolase	slr0920	slr0920
SYNPCC7942_1594	sll0209	2510273	2511295	acyl-[acp] reductase	SYNPCC7942_1593 // SYNPCC7942_1594	sll0208 // sll0209
sll0272	sll0272	2104439	2104912	DUF2996 domain-containing protein	nusB // sll0272	sll0271 // sll0272
slr1099	slr1099	195685	196305	UbiX family flavin prenyltransferase	slr1099	slr1099
sll1911	sll1911	776551	776937	hypothetical protein	sll1911	sll1911
sll6109	sll6109	103764	104327	site-specific integrase	sll6109	sll6109
sll0040	sll0040	3152239	3152787	chemotaxis protein CheW	sll0040	sll0040
slr1584	slr1584	3404545	3405249	response regulator transcription factor	slr1584	slr1584
slr1721	slr1721	1473974	1475452	hypothetical protein	slr1721 // aspS	slr1721 // slr1720
sll1618	sll1618	1329388	1329990	hypothetical protein	sll1618	sll1618
ssr2406	ssr2406	1065398	1065622	hypothetical protein	ssr2406	ssr2406
slr1443	slr1443	1078657	1080501	serine/threonine protein kinase	slr1443	slr1443
slr0698	slr0698	3088419	3088883	CYTH domain-containing protein	slr0698 // slr0697	slr0698 // slr0697
sll1228	sll1228	1664798	1666699	response regulator	sll1228	sll1228
slr0695	slr0695	446230	446751	hypothetical protein	slr0695	slr0695
SGL_RS19375	SGL_RS19375	31422	31595	hypothetical protein	SGL_RS19375	SGL_RS19375
larC	slr1411	170572	171840	nickel pincer cofactor biosynthesis protein LarC	larC	slr1411
spkF	slr1225	1027844	1029331	serine/threonine protein kinase	spkF	slr1225
slr1338	slr1338	1726697	1727299	VWA domain-containing protein	slr1340 // slr1339 // slr1338	slr1340 // slr1339 // slr1338
sll1486	sll1486	3388694	3389491	DUF2231 domain-containing protein	sll1486	sll1486
slr1924	slr1924	2212505	2213707	serine hydrolase	cobD // slr1924 // slr1923	slr1925 // slr1924 // slr1923
sll1076	sll1076	803466	806384	cation-transporting P-type ATPase	sll1076	sll1076
acr3	slr0944	2010218	2011369	arsenite efflux transporter Acr3	acr3	slr0944
ssr1176	ssr1176	3098299	3098718	IS630 family transposase	ssr1176 // SGL_RS19110	ssr1176 // SGL_RS19110
sll1630	sll1630	1312843	1313268	DUF29 family protein	sll1629 // sll1630 // sll1631	sll1629 // sll1630 // sll1631
slr1243	slr1243	1375351	1378545	ATP-binding protein	slr1243	slr1243
SGL_RS18725	SGL_RS18725	852470	853281	IS5-like element IS5Sa2 family transposase	SGL_RS18725	SGL_RS18725
speA	slr0662	3342857	3344944	biosynthetic arginine decarboxylase	speA	slr0662
